STATION,DATE,TMAX,TMIN,TOBS
GHCND:USC00194105,20160722,87,67,76
GHCND:USC00194105,20160723,94,73,77
GHCND:USC00194105,20160724,94,66,76
GHCND:USC00194105,20160725,94,65,79
GHCND:USC00194105,20160726,91,74,78
GHCND:USC00194105,20160727,90,69,75
GHCND:USC00194105,20160728,92,69,76
GHCND:USC00194105,20160729,92,73,73
GHCND:USC00194105,20160730,84,69,77
GHCND:USC00194105,20160731,87,66,67
GHCND:USC00194105,20160801,71,66,70
GHCND:USC00194105,20160802,74,66,67
GHCND:USC00194105,20160803,80,60,70
GHCND:USC00194105,20160804,84,62,72
GHCND:USC00194105,20160805,87,63,72
GHCND:USC00194105,20160806,87,69,72
GHCND:USC00194105,20160807,88,67,67
GHCND:USC00194105,20160808,89,65,67
GHCND:USC00194105,20160809,89,64,68
GHCND:USC00194105,20160810,90,68,72
GHCND:USC00194105,20160811,80,72,80
GHCND:USC00194105,20160812,93,77,82
GHCND:USC00194105,20160813,96,77,83
GHCND:USC00194105,20160814,83,67,75
GHCND:USC00194105,20160815,93,67,76
GHCND:USC00194105,20160816,85,67,73
GHCND:USC00194105,20160817,83,73,80
GHCND:USC00194105,20160818,80,65,66
GHCND:USC00194105,20160819,88,66,80
GHCND:USC00194105,20160820,86,67,82
GHCND:USC00194105,20160821,83,65,75
GHCND:USC00194105,20160822,82,65,67
GHCND:USC00194105,20160823,76,57,62
GHCND:USC00194105,20160824,80,61,65
GHCND:USC00194105,20160825,86,65,69
GHCND:USC00194105,20160826,85,69,74
GHCND:USC00194105,20160827,89,67,73
GHCND:USC00194105,20160828,87,68,83
GHCND:USC00194105,20160829,84,70,72
GHCND:USC00194105,20160830,84,60,64
GHCND:USC00194105,20160831,81,64,66
GHCND:USC00194105,20160901,82,66,72
GHCND:USC00194105,20160902,79,62,64
GHCND:USC00194105,20160903,78,60,60
GHCND:USC00194105,20160904,77,57,67
GHCND:USC00194105,20160905,75,58,61
GHCND:USC00194105,20160906,76,61,64
GHCND:USC00194105,20160907,69,64,68
GHCND:USC00194105,20160908,76,64,69
GHCND:USC00194105,20160909,82,63,74
GHCND:USC00194105,20160910,90,70,72
GHCND:USC00194105,20160911,78,70,74
GHCND:USC00194105,20160912,81,52,62
GHCND:USC00194105,20160913,77,55,66
GHCND:USC00194105,20160914,82,-9999,68
GHCND:USC00194105,20160915,85,54,55
GHCND:USC00194105,20160916,72,51,57
GHCND:USC00194105,20160917,74,52,68
GHCND:USC00194105,20160918,78,52,70
GHCND:USC00194105,20160919,79,68,70
GHCND:USC00194105,20160920,72,65,66
GHCND:USC00194105,20160921,81,63,66
GHCND:USC00194105,20160922,79,58,64
GHCND:USC00194105,20160923,81,63,66
GHCND:USC00194105,20160924,82,53,58
GHCND:USC00194105,20160925,68,46,53
GHCND:USC00194105,20160926,65,43,47
GHCND:USC00194105,20160927,68,47,68
GHCND:USC00194105,20160928,72,56,57
GHCND:USC00194105,20160929,59,50,57
GHCND:USC00194105,20160930,60,50,52
GHCND:USC00194105,20161001,60,52,53
GHCND:USC00194105,20161002,55,51,54
GHCND:USC00194105,20161003,56,53,55
GHCND:USC00194105,20161004,72,52,53
GHCND:USC00194105,20161005,61,49,49
GHCND:USC00194105,20161006,66,41,-9999
GHCND:USC00194105,20161007,73,47,-9999
GHCND:USC00194105,20161008,74,48,49
GHCND:USC00194105,20161009,70,48,57
GHCND:USC00194105,20161010,59,44,48
GHCND:USC00194105,20161011,58,38,43
GHCND:USC00194105,20161012,65,43,52
GHCND:USC00194105,20161013,67,50,55
GHCND:USC00194105,20161014,69,48,55
GHCND:USC00194105,20161015,58,38,39
GHCND:USC00194105,20161016,58,38,51
GHCND:USC00194105,20161017,69,39,63
GHCND:USC00194105,20161018,75,55,56
GHCND:USC00194105,20161019,70,56,70
GHCND:USC00194105,20161020,78,48,50
GHCND:USC00194105,20161021,64,50,60
GHCND:USC00194105,20161022,74,58,58
GHCND:USC00194105,20161023,58,43,48
GHCND:USC00194105,20161024,57,48,57
GHCND:USC00194105,20161025,59,38,42
GHCND:USC00194105,20161026,47,35,37
GHCND:USC00194105,20161027,48,35,36
GHCND:USC00194105,20161028,52,32,52
GHCND:USC00194105,20161029,52,40,41
GHCND:USC00194105,20161030,52,40,49
GHCND:USC00194105,20161031,58,39,46
GHCND:USC00194105,20161101,49,32,41
GHCND:USC00194105,20161102,55,30,42
GHCND:USC00194105,20161103,65,41,52
GHCND:USC00194105,20161104,57,44,46
GHCND:USC00194105,20161105,54,30,36
GHCND:USC00194105,20161106,54,35,47
GHCND:USC00194105,20161107,50,36,43
GHCND:USC00194105,20161108,50,31,40
GHCND:USC00194105,20161109,65,38,45
GHCND:USC00194105,20161110,58,34,36
GHCND:USC00194105,20161111,53,36,53
GHCND:USC00194105,20161112,57,37,-9999
GHCND:USC00194105,20161113,48,33,-9999
GHCND:USC00194105,20161114,59,34,35
GHCND:USC00194105,20161115,63,34,47
GHCND:USC00194105,20161116,53,46,50
GHCND:USC00194105,20161117,54,45,48
GHCND:USC00194105,20161118,55,38,45
GHCND:USC00194105,20161119,62,37,37
GHCND:USC00194105,20161120,60,37,47
GHCND:USC00194105,20161121,48,31,31
GHCND:USC00194105,20161122,38,31,-9999
GHCND:USC00194105,20161123,41,33,38
GHCND:USC00194105,20161124,42,31,33
GHCND:USC00194105,20161125,41,31,37
GHCND:USC00194105,20161126,42,35,35
GHCND:USC00194105,20161127,43,31,36
GHCND:USC00194105,20161128,44,32,34
GHCND:USC00194105,20161129,45,28,37
GHCND:USC00194105,20161130,55,37,41
GHCND:USC00194105,20161201,47,41,46
GHCND:USC00194105,20161202,57,36,37
GHCND:USC00194105,20161203,51,37,38
GHCND:USC00194105,20161204,49,33,34
GHCND:USC00194105,20161205,41,26,34
GHCND:USC00194105,20161206,40,27,30
GHCND:USC00194105,20161207,41,30,35
GHCND:USC00194105,20161208,39,30,32
GHCND:USC00194105,20161209,41,31,31
GHCND:USC00194105,20161210,33,20,20
GHCND:USC00194105,20161211,29,13,17
GHCND:USC00194105,20161212,34,13,33
GHCND:USC00194105,20161213,39,29,34
GHCND:USC00194105,20161214,40,30,35
GHCND:USC00194105,20161215,35,24,25
GHCND:USC00194105,20161216,25,1,3
GHCND:USC00194105,20161217,23,3,23
GHCND:USC00194105,20161218,38,23,35
GHCND:USC00194105,20161219,56,16,16
GHCND:USC00194105,20161220,34,10,18
GHCND:USC00194105,20161221,33,11,26
GHCND:USC00194105,20161222,43,26,31
GHCND:USC00194105,20161223,38,20,32
GHCND:USC00194105,20161224,44,24,32
GHCND:USC00194105,20161225,45,25,40
GHCND:USC00194105,20161226,40,19,19
GHCND:USC00194105,20161227,56,19,54
GHCND:USC00194105,20161228,55,36,36
GHCND:USC00194105,20161229,40,27,28
GHCND:USC00194105,20161230,40,28,34
GHCND:USC00194105,20161231,37,23,23
GHCND:USC00194105,20170101,38,23,37
GHCND:USC00194105,20170102,42,23,25
GHCND:USC00194105,20170103,41,24,25
GHCND:USC00194105,20170104,42,25,38
GHCND:USC00194105,20170105,47,26,26
GHCND:USC00194105,20170106,32,25,25
GHCND:USC00194105,20170107,32,17,-9999
GHCND:USC00194105,20170108,22,10,12
GHCND:USC00194105,20170109,22,7,14
GHCND:USC00194105,20170110,20,9,16
GHCND:USC00194105,20170111,47,16,47
GHCND:USC00194105,20170112,54,40,52
GHCND:USC00194105,20170113,61,41,41
GHCND:USC00194105,20170114,44,16,17
GHCND:USC00194105,20170115,29,16,29
GHCND:USC00194105,20170116,35,17,17
GHCND:USC00194105,20170117,40,17,20
GHCND:USC00194105,20170118,44,20,36
GHCND:USC00194105,20170119,37,30,31
GHCND:USC00194105,20170120,42,30,34
GHCND:USC00194105,20170121,40,34,37
GHCND:USC00194105,20170122,53,35,39
GHCND:USC00194105,20170123,43,31,31
GHCND:USC00194105,20170124,37,31,37
GHCND:USC00194105,20170125,38,33,36
GHCND:USC00194105,20170126,40,36,39
GHCND:USC00194105,20170127,51,39,39
GHCND:USC00194105,20170128,42,33,37
GHCND:USC00194105,20170129,38,29,33
GHCND:USC00194105,20170130,41,23,24
GHCND:USC00194105,20170131,34,17,18
GHCND:USC00194105,20170201,28,17,25
GHCND:USC00194105,20170202,40,25,37
GHCND:USC00194105,20170203,38,23,23
GHCND:USC00194105,20170204,31,19,19
GHCND:USC00194105,20170205,35,19,35
GHCND:USC00194105,20170206,41,29,33
GHCND:USC00194105,20170207,36,30,31
GHCND:USC00194105,20170208,33,21,26
GHCND:USC00194105,20170209,50,26,31
GHCND:USC00194105,20170210,31,10,12
GHCND:USC00194105,20170211,22,12,16
GHCND:USC00194105,20170212,21,15,21
GHCND:USC00194105,20170213,33,21,26
GHCND:USC00194105,20170214,32,20,22
GHCND:USC00194105,20170215,38,22,28
GHCND:USC00194105,20170216,41,28,29
GHCND:USC00194105,20170217,33,23,30
GHCND:USC00194105,20170218,40,26,35
GHCND:USC00194105,20170219,53,35,41
GHCND:USC00194105,20170220,59,36,38
GHCND:USC00194105,20170221,42,23,25
GHCND:USC00194105,20170222,44,25,38
GHCND:USC00194105,20170223,59,34,37
GHCND:USC00194105,20170224,68,36,44
GHCND:USC00194105,20170225,73,43,56
GHCND:USC00194105,20170226,69,38,38
GHCND:USC00194105,20170227,41,29,30
GHCND:USC00194105,20170228,53,30,37
GHCND:USC00194105,20170301,55,37,52
GHCND:USC00194105,20170302,65,45,46
GHCND:USC00194105,20170303,47,24,24
GHCND:USC00194105,20170304,35,11,12
GHCND:USC00194105,20170305,17,8,10
GHCND:USC00194105,20170306,29,10,16
GHCND:USC00194105,20170307,42,16,34
GHCND:USC00194105,20170308,52,34,52
GHCND:USC00194105,20170309,55,35,44
GHCND:USC00194105,20170310,46,33,33
GHCND:USC00194105,20170311,33,10,10
GHCND:USC00194105,20170312,19,7,8
GHCND:USC00194105,20170313,25,8,13
GHCND:USC00194105,20170314,34,13,26
GHCND:USC00194105,20170315,35,18,20
GHCND:USC00194105,20170316,28,19,21
GHCND:USC00194105,20170317,34,21,24
GHCND:USC00194105,20170318,40,22,23
GHCND:USC00194105,20170319,36,23,30
GHCND:USC00194105,20170320,39,30,34
